,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,N,Vessel name,DWT,GRT,Flag,Shipowner,Vessel type,IMO,LOA,Ice class,Port of exit,Exit date,NSR entered,Entry date,NSR left,"Leaving
date",Port of entry,Entry date,"NSR passage
time (days)"
1,1,Tian Jian,38146,26770,China,COSCO,Heavy Lift,9722754,190,Ice 1,Lianyungang,31.08.2017 7:00,Cape Dezhnev,10.09.17,Cape Zhelaniya,17.09.17,Esbjerg,24.09.17,"6,6"
2,2,Da An,28000,22566,Hong Kong,COSCO,Heavy Lift,9607825,"179,5",Ice 1,Tianjin,22.08.2017 2:00,Cape Dezhnev,01.09.17,Cape Zhelaniya,07.09.17,Cuxhaven,14.09.17,"6,1"
3,3,Foresight,12669,9611,Antigua and Barbuda,BBC,General cargo,9388912,"138,8",Arc 4,Taicang,08.08.2017 10:00,Cape Dezhnev,21.08.17,Kara Gate,29.08.17,Bermerhaven,04.09.17,"7,9"
4,4,Fortune,12692,9611,Antigua and Barbuda,BBC,General cargo,9402067,139,Arc 4,Tiacang,11.09.2017 1:00,Cape Dezhnev,22.09.17,Cape Zhelaniya,30.09.17,Brake,07.10.17,"7,8"
5,5,Finesse,12685,9611,Antigua and Barbuda,BBC,General cargo,9388900,138,Arc 4,Taicang,27.09.2017 0:45,Cape Dezhnev,07.10.17,Cape Zhelaniya,14.10.17,Brake,21.10.17,"6,9"
6,6,Baltic Winter,19404,15549,Portugal,KG Schifffahrtsgesellschaft,General cargo,9467134,"166,2",Arc 4,Taicang,03.10.2017 7:00,Cape Dezhnev,15.10.17,Cape Zhelaniya,21.10.17,Bermerhaven,26.10.17,"5,7"
7,7,Lian Hua Song,27412,20692,Hong Kong,COSCO,General cargo,9608829,"179,5",Ice 1,Lianyungang,01.08.2017 13:00,Cape Dezhnev,15.08.17,Cape Zhelaniya,24.08.17,Esbjerg,31.08.17,"9,0"
8,8,Tian Fu,38146,26600,Hong Kong,COSCO,Heavy Lift,9704738,190,Ice 1,Kotka,30.08.2017 17:30,Cape Zhelaniya,11.09.17,Cape Dezhnev,18.09.17,Shanghai,03.10.17,"6,5"
9,9,Chr. De Margerie,96779,128806,Cyprus,DY,LNG tanker,9737187,299,Arc 7,Hammerfest,29.07.2017 5:00,Cape Zhelaniya,31.07.17,Cape Dezhnev,06.08.17,Boryeong,15.08.17,"6,5"
10,10,Tian Le,38146,26770,China,COSCO,Heavy Lift,9722730,190,Ice 1,Hyefjorden,02.09.2017 8:00,Cape Zhelaniya,07.09.17,Cape Dezhnev,13.09.17,Tomakomai,20.09.17,"6,3"
11,11,Winter Bay,2050,2731,Saint Kitts and Nevis,Darliada,Pallet,8601680,80,Ice 1,Reykjavik,17.08.2017 11:30,Cape Zhelaniya,25.08.17,Cape Dezhnev,03.09.17,Osaka,16.09.17,"8,8"
12,12,Bigroll Beaufort,20157,23134,Netherlands,RollDock Shipping,Deck cargo,9766841,173,Arc 4,Hammerfest,29.08.2017 18:20,Cape Zhelaniya,02.09.17,Cape Dezhnev,13.09.17,Zhangzhou,06.10.17,"10,5"
13,13,Volk Arktiki,765,1216,Russia,Antey,Fishing,8024002,57,Ice 3,Murmansk,15.09.2017 15:00,Cape Zhelaniya,18.09.17,Cape Dezhnev,26.09.17,Vladivostok,08.10.17,"7,5"
14,14,Odissey-1,498,761,Russia,Fenix,Fishing,7807598,"50,6",No,P. Kamchatskiy,25.08.2017 19:00,Cape Dezhnev,02.09.17,Kara Gate,19.09.17,Murmansk,23.09.17,"16,6"
15,15,Gelios,393,394,Russia,IP Sidoga,General cargo,8889256,"45,5",Ice 1,Arkhangelsk,07.09.2017 17:00,Yugorskiy Shar,12.09.17,Cape Dezhnev,26.09.17,Nikolaevsk-Na-Amure,17.10.17,"14,4"
16,16,Sunny Lina,1927,2493,Saint Kitts and Nevis,Shipdeal,Reefer,7826142,91,Ice 3,Kaliningrag,08.09.2017 21:00,Kara Gate,18.09.17,Cape Dezhnev,29.09.17,Nakhodka,12.10.17,"10,1"
17,17,Garmoniya,3642,4295,Russia,Yuzhmorrybflot,Reefer,8516639,103,Arc 4,Arkhangelsk,31.08.2017 3:00,Kara Gate,01.09.17,Cape Dezhnev,08.09.17,Anadyr Bay,10.09.17,"7,1"
18,18,Winter Bay,2050,2731,Saint Kitts and Nevis,Darliada,Pallet,8601680,80,Ice 1,P. Kamchatskiy,03.10.2017 11:00,Cape Dezhnev,09.10.17,Cape Zhelaniya,18.10.17,St. Petersburg,02.11.17,"9,3"
19,19,Chukotka+,11548,8806,Russia,Chukotka Trading,Tanker,7927960,"140,8",Arc 4,Provideniya,03.10.2017 11:00,Cape Dezhnev,04.10.17,Kara Gate,16.10.17,Murmansk,18.10.17,"11,8"
20,20,Chukotka+,11548,8806,Russia,Chukotka Trading,Tanker,7927960,"140,8",Arc 4,Murmansk,28.10.2017 3:00,Yugorskiy Shar,30.10.17,Cape Dezhnev,06.12.17,Korf,11.12.17,"36,6"
21,21,Boris Vilkitskiy,96779,128806,Cyprus,Dynagas,LNG tanker,9768368,299,Arc 7,Nakhodka,07.11.2017 4:00,Cape Dezhnev,13.11.17,Kara Gate,25.11.17,Murmansk,29.11.17,"12,4"
22,22,Fedor Ushakov,2000,8597,Russia,SCF,Supply,9753739,"95,6",Icebreaker 6,Murmansk,12.11.2017 21:00,Cape Zhelaniya,15.11.17,Cape Dezhnev,23.11.17,Kholmsk,03.12.17,"8,5"
23,23,Egvekinot,6026,4110,Russia,Oil-Compact,Tanker,7912044,"106,1",Arc 4,Murmansk,13.08.2017 22:40,Kara Gate,15.08.17,Cape Dezhnev,26.08.17,Provideniya,29.08.17,"10,9"
24,24,HHL Elbe,12709,9627,Liberia,HHL,General cargo,9433262,"138,5",Arc 4,Aberdeen,14.07.2017 3:00,Kara Gate,19.07.17,Cape Dezhnev,29.07.17,Kholmsk,05.08.17,"10,4"
25,25,Siziman,4800,4464,Sierra Leone,Garten Holding,General cargo,9113604,"117,6",Arc 4,Murmansk,04.09.2017 23:00,Kara Gate,07.09.17,Cape Dezhnev,20.09.17,Lanshan,09.10.17,"12,9"
26,26,Rolldock Storm,9063,15382,Netherlands,RollDock Shipping,Heavy load,9656503,"151,5",Ice 3,Severodvinsk,18.09.2017 9:00,Kara Gate,20.09.17,Cape Dezhnev,27.09.17,Qingdao,08.10.17,"7,4"
27,27,Garmoniya,3642,4295,Russia,Yuzhmorrybflot,Reefer,8516639,103,Arc 4,Ossora,07.08.2017 1:30,Cape Dezhnev,11.08.17,Kara Gate,21.08.17,Arkhangelsk,23.08.17,"10,0"
