,0,1,2,3,4,5,6,7,8,9,10,11
0,№,Vessel and Flag,Ice Class,"Shipowner /
Operator",Cargo,Destination,"Port and Date
of Sail","Entry to
NSR","Exit from
NSR",Time on NSR,"Average speed,
knots",
1,1,"mt
«Varzuga»
Russia",Arc5,JSC MSCo,"12538 t
Diesel fuel",Pevek-Anadyr,"Murmansk
20.06.12
22:30","23.06.12
06:00","16.07.12
10:00","To Pevek 15.4 days
From Pevek to
Dezhnev
4,1 days","5,8.",
2,2,"Mt
«Indiga»
Russia",Arc5,JSC MSCo,"12979 t
Diesel Fuel",Pevek-Anadyr,"Murmansk
21.06.12
22:00","24.06.12
05:00","16.07.12
10:00","To Pevek 14,3 days
From Pevek to
Dezhnev
4,1 days","5,9",
3,3,"Supply vessel
«Vengeri»
Russia","Ice 1A
Super
(Arc 5)",FEMCO LTD,"repositioning,
dspl 3733 t","K holmsk,
Sakhalin","Murmansk
05.07.12
13:00","08.07.12
04:00","23.07.12
00:00","14,8","7,3",
4,4,"mt
«Nordic
Odyssey»
PANAMA","Ice 1A
(Arc4)","Nordic Bulk
Carriers","67520 t
ЖРК
«Еврохим»",Китай,"Murmansk
10.07.12
02:00","11.07.12
22:00","23.07.12
05:00","11,2","9,7",
5,5,"mt «Marilee»
NORWAY","Ice 1A
(Arc4)",MARINVEST,"60505 t
gascondensat
e NOVATEK","Inchеon,
Republic of Korea","Murmansk
10.07.12
05:00","11.07.12
16:00","22.07.12
23:40","11,3","9,6",
6,6,"mv
«Nordic
Orion»
PANAMA","Ice-1A
(Arc4)","Nordic Bulk
Carriers","ballast
dspl 87216 t.",Murmansk,"Shanghai
10.07.12 07:35","20.07.12
19:45","31.07.12
15:20","10,8","10,0",
7,7,"mt
«Stena
Poseidon»
FINLAND","Ice 1A
(Arc4)",Neste Oil,"66416 t
Jet fuel","Porvoo,
Finland","Yosu,
Republic of
Korea
30.06.12
02:15","20.07.12
09:00","31.07.12
20:50","11,5","9,4",
8,8,"icebreaker
«Xuelong»
CHINA",Arc 5,"Polar Research
Institute of China","repositioning
dspl. 21025 t.",Iceland,"SHANGHAI,
China","21.07.12
17:00","31.07.12
15:00","9,9","10,9 уз",
9,9,"Mt
«Palva»","Ice 1A
(Arc4)",«Neste Oil»,"60310 t.
Gascondensat","Daesan,
Republic of Korea","Murmansk
23.07.12","26.07.12
17.25","04.08.12
11:50","8,8","12,3 уз",
