,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
1,1,"mt
«Varzuga»
flag RUSSIA",Arc5,11 290,"MSCO /
Chukotsnab","13 658 tones
diesel fuel","Певек -
Nakhodka","Murmansk
25.06.13
00:00","28.06.13
16:00
c. Zhelaniya","14.07.13
14:00
c. Dezhnev","15,3","7,0",,,
2,2,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"MSCO /
Chukotsnab","13 645 tones
diesel fuel",Pevek,"Murmansk
25.06.13
19:00","28.06.13
17:00
c. Zhelaniya","10.07.13
09:20
Pevek","11,7","9,2",,,
3,3,"mv
«Nordic Orion»
flag PANAMA","Ice-1A
(Arc4)",40 142,"Nordic Bulk
Carriers","66 000 tones
iron ore
Eurochem","Lanshan, China","Murmansk
01.07.13
01:30","03.07.13
10:00
c. Zhelaniya","23.07.13
08:55
c. Dezhnev","19,9","5,4",,,
4,4,"mv
«Boris Vilkitskiy»
flag RUSSIA",Arc4,5 025,"Khatanga Sea
Merchant Port
CJSC","5 996 tones
diesel fuel",Khatanga Bay,,"13.07.13
12:00
Yugorski
Shar","07.08.13
24:00
Khatanga Bay","25,2","4,3",,,
5,5,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"MSCO/
Chukotsnab","ballasting,
FD 22 654
tones",Ob Bay,"Pevek
15.07.13
01:30","15.07.13
01:30
Pevek","24.07.13
12:50
Ob Bay","11,3","7,2",,,
6,6,"mt
«Egvekinot»
flag RUSSIA",Arc4,4 110,Sky LLC,"4 646 tones
diesel fuel",Ob Bay,Provideniya,"17.07.13
23:00
c. Dezhnev","07.08.13
12:00","20,6","7,1",,,
7,7,"mv
«Nordic Odyssey»
flag PANAMA","Ice 1A
(Arc4)",40 142,"Nordic Bulk
Carriers","ballasting,
FD 87 216
tones",Murmansk,"Beilun, China
10.07.13
02:00","18.07.13
01:00
c. Dezhnev","03.08.13
10:30
Kara Gate","16,4","8,0",,,
8,8,"mv
«Inzhener
Trubin»
flag RUSSIA",Arc5,6 418,"Northern Shipping
Company","2 240 tones
general cargo","Petropavlovsk-
Kamchatsky","Arkhangelsk
19.07.13
20:30","21.07.13
20:00
Kara Gate","14.08.13
04:10
c. Dezhnev","14,1","8,0",,,
9,9,"mt
«Bukhta
Slavyanka»
flag RUSSIA",Arc5,13 204,"Vostokbunker
CJSC","7 923 tones
diesel fuel",Murmansk,"Petropavlovsk-
Kamchatsky","23.07.13
10:00
c. Dezhnev","11.08.13
06:00
Kara Gate","18,8","8,8",,,
10,10,"mv
«Georgiy
Ushakov»
флаг РФ",Arc4,6 204,"Khatanga Sea
Merchant Port
CJSC","6 697 tones
general cargo",Anabar Bay,Arkhangelsk,"23.07.13
23:00
Kara Gate","07.08.13
23:00
Anabar Bay","15,0","6,4",,,
11,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
12,11,"mt «Propontis»
flag GREECE","Ice 1A
(Arc4)",66 919,"TSAKOS
COLUMBIA SM","79 846 tones
naphtha","Mizushima,
Japan","Mongstad,
Norway
17.07.13","24.07.13
00:00
c. Zhelaniya","05.08.13
17:00
c. Dezhnev","12,7","8,2",,,
13,12,"mt
«Kasla»
flag RUSSIA",Arc 5,4 724,Sky LLC,"5 486 tones
diesel fuel","Ob Bay (via
Yana river
mouth)",Nakhodka,"24.07.13
19:30
c. Dezhnev","21.08.13
07:30
Ob Bay","27,5","7,7",,,
14,13,"reefer
«Atmoda»
flag PANAMA","Ice 1A
(Arc4)",12 413,"Laskaridis ship.
LTD","ballasting,
FD 16 600
tones","Ammassalik,
Iceland","Nakhodka
18.07.13
15:10","26.07.13
16:30
c. Dezhnev","14.08.13
14:00
c. Zhelaniya","18,9","9,0",,,
15,14,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,Sky LLC,"13 013 tones
diesel fuel",Anabar Bay,"Ob Bay
26.07.13
22:00","26.07.13
22:00
Ob Bay","06.08.13
24:00
Anabar Bay","11,1","6,0",,,
16,15,"mt ""Two Million
Ways""
flag CYPRUS","Ice 1A
(Arc4)",40 865,"Reederei NORD
Limited","60 818 tones
gas condensate
NOVATEK","Melarra,
Malaysia","Murmansk
27.07.13","30.07.13
23:00
c. Zhelaniya","13.08.13
22:30
c. Dezhnev","12,9","8,4",,,
17,16,"LNGC
«Arctic Aurora»
flag Marshall Island","Ice 1A
(Arc4)",102 236,Dynagas Ltd,"ballasting,
FD 113 826
tones","Hammerfest,
Norway","Vladivostok
30.07.13
23:30","06.08.13
23:30
c. Dezhnev","18.08.13
20:40
c. Zhelaniya","11,9","9,1",,,
18,17,"mt
«Khatanga»
flag RUSSIA",Ice 3,14 937,"MSCO /
Chukotsnab","20 167 tones
diesel fuel",Pevek,"Murmansk
03.08.13
21:00","06.08.13
01:00
Kara Gate","24.08.13
13:00
Pevek","18,5","9,0",,,
19,18,"mv «Tekhnolog
Konyukhov»
flag RUSSIA",Arc5,5 370,"Northern Shipping
Company","1 556 tones
general cargo",Pevek,"Arkhangelsk
05.08.13
21:00","08.08.13
01:00
Kara Gate","18.08.13
18:30
Pevek","10,7","8,6",,,
20,19,"mt
«SCF Yenisei»
flag LIBERIA","Ice 1A
(Arc4)",29 844,Sovcomflot,"35 943 tones
naphtha","Chiba,
Japan",Murmansk,"08.08.13
22:50
c. Zhelaniya","19.08.13
16:15
c. Dezhnev","10,7","10,1",,,
21,20,"esearch vessel
«GEO ARCTIC»
flag RUSSIA",Arc5,3 225,SMNG,"reposition,
FD 3 631 tones","Nom,
USA","Kirkenes
07.08.13
16:25","10.08.13
02:00
Kara Gate","23.08.13
21:40
c. Dezhnev","13,8","9,0",,,
22,21,"mv
«Mikhail Dudin»
flag MALTA",Ice 3,2 319,"ASPOL-Baltic
Concern","120 tones
general cargo","Szczecin,
Poland","Tan Cang Cai
Mep,
Vietnam","11.08.13
03:00
c. Dezhnev","25.08.13
24:00
Kara Gate","14,8","7,6",,,
23,No.,Vessel and Flag,Ice class,"GRT,
tones","Vessel
owner/operator",Cargo,"Port of
destination","Port and date
of departure","Entry to
NSR","Exit from
NSR","Days
spent at
NSR","Average
speed,
knots",,,
24,22,"mv
«Nordic Odyssey»
flag PANAMA","Ice 1A
(Arc4)",40 142,"Nordic Bulk
Carriers","70 202 tones
iron ore
Eurochem","Quingdao,
China","Murmansk
11.08.13
02:00","13.08.13
19:00
c. Zhelaniya","24.08.13
14:36
c. Dezhnev","10,8","10,0",,,
25,23,"mt
«Marinor»
flag NORWAY","Ice 1A
(Arc4)",42 835,MARINVEST,"58 721 tones
gas condensate
NOVATEK","Daesan,
South Korea","Murmansk
13.08.13
01:40","15.08.13
16:00
c. Zhelaniya","28.08.13
12:15
c. Dezhnev","12,9","11,0",,,
26,24,"mt
«Egvekinot»
flag RUSSIA",Arc4,4 110,Sky LLC,"4 213 tones
diesel fuel","Kolyma river
mouth","Ob Bay
13.08.13
12:00","13.08.13
12:00
Ob Bay","26.08.13
24:00
Kolyma
mouth","13,5","7,3",,,
27,25,"mv «Tekhnolog
Konyukhov»
flag RUSSIA",Arc5,5 370,"Northern Shipping
Company","ballasting,
FD 10 003
tones",Arkhangelsk,"Pevek
19.08.13
16:00","19.08.13
16:00
Pevek","26.08.13
11:00
Kara Gate","6,8","13,3",,,
28,26,"PS-825
flag RUSSIA","Ice 1A
(Arc4)",1 207,"Coast Guard
Service","reposition,
FD 1 155 tones",Nevelsk,"Murmansk
20.08.13
15:00","22.08.13
12:00
Kara Gate","05.09.13
07:00
c. Dezhnev","13,8","11,4",,,
29,27,"mt
«Kasla»
flag RUSSIA",Arc 5,4 724,Sky LLC,"5 329 tones
diesel fuel","Kolyma river
mouth","Ob Bay
25.08.13
20:00","25.08.13
20:00
Ob Bay","05.09.13
08:00
Kolyma river
mouth","10,5","7,3",,,
30,28,"mv
«YONG SHENG»
flag HONG KONG","Ice 1A
(Arc4)",14 357,COSCO SHIPPING,"16 651 tones
general cargo","Rotterdam,
Netherlands","Busan
17.08.13","26.08.13
23:30
c. Dezhnev","03.09.13
09:30
c. Zhelaniya","7,4","14,1",,,
31,29,"mv «Yuri
Arshenevsky»
flag RUSSIA",Arc7,18 574,NSC / Chukotsnab,"6 799 tones
general cargo",Pevek,Arkhangelsk,"27.08.13
11:00
Kara Gate","06.09.13
07:30
Pevek","9,9","8,4",,,
32,30,"mt
«Khatanga»
flag RUSSIA",Ice 3,14 937,"MSCO/
Chukotsnab","ballasting,
FD 30 022
tones",Murmansk,"Pevek
27.08.13
13:30","27.08.13
13:30
Pevek","05.09.13
12:00
Kara Gate","8,9","9,3",,,
33,31,"mv «Inzhener
Veshnyakov»
flag RUSSIA",Arc5,6 418,"Northern Shipping
Company","3 078 tones
general cargo",c. Shmidt,"Arkhangelsk
01.09.13
02:20","02.09.13
23:30
Kara Gate","12.09.13
18:20
c. Shmidt","9,8","10,4",,,
34,32,"mt
«Indiga»
flag RUSSIA",Arc5,11 290,"MSCO /
Chukotsnab","12 444 т
diesel fuel",Pevek,"Murmansk
31.08.13
08:30","03.09.13
11:00
c. Zhelaniya","12.09.13
10:10
Pevek","8,9","8,8",,,
