,0,1,2,3,4,5,6,7,8,9
0,Name of vessel,,Flag,Type,GRT,"Date and place of entering the
NSR water area",,"Date and place of leaving the
NSR water area",,"Days spent
at NSR"
1,List of the vessels crossed both Western and Eastern NSR boundaries,,,,,,,,,
2,1,Kapitan Khlebnikov,Russia,Passengers Ship,12 288,28.06.14,c. Dezhnev,c. Zhelania,28.07.14,30
3,2,Tor Viking,Sweden,Tug / Supply / Icebreaker,3 382,03.07.14,c. Zhelania,c. Dezhnev,16.07.14,13
4,3,Anichkov Bridge,Russia,Oil/Chemical Tanker,27 829,05.07.14,c. Dezhnev,c. Zhelania,17.08.14,43
5,4,Oden,Sweden,Icebreaker/Research,9 605,09.07.14,North of c. Zhelania,North of c. Dezhnev,17.08.14,39
6,5,Yaroslav Mydryy,Russia,Oil/Chemical Tanker,6 262,09.07.14,c. Dezhnev,c. Zhelania,28.07.14,19
7,6,Hanseatic,Bahamas,Passengers Ship,8 378,02.08.14,c. Dezhnev,c. Zhelania,02.09.14,31
8,7,Kapitan Khlebnikov,Russia,Passengers Ship,12 288,03.08.14,Karskiye Vorota,c. Dezhnev,20.10.14,78
9,8,Egvekinot,Russia,Chemical Tanker,4 110,18.08.14,c. Dezhnev,Karskiye Vorota,29.08.14,11
10,9,SCF Neva,Russia,Oil Products Tanker,29 902,19.08.14,c. Dezhnev,c. Zhelania,28.08.14,9
11,10,Odoevsk,Russia,Trawler,1 895,20.08.14,c. Zhelania,c. Dezhnev,02.09.14,13
12,11,Oden,Sweden,Icebreaker/Research,9 605,22.08.14,North of c. Dezhnev,North of c. Zhelania,29.09.14,38
13,12,SCF Amur,Russia,Oil Products Tanker,29 844,24.08.14,c. Dezhnev,c. Zhelania,31.08.14,7
14,13,Transshelf,Curacao,Heavy Lift Vessel,26 890,04.09.14,c. Dezhnev,Karskiye Vorota,20.09.14,16
15,14,Kunashir,Russia,General Cargo,6 540,05.09.14,c. Dezhnev,Karskiye Vorota,16.09.14,11
16,15,Egvekinot,Russia,Chemical Tanker,4 110,09.09.14,Karskiye Vorota,c. Dezhnev,19.09.14,10
17,16,Anichkov Bridge,Russia,Oil/Chemical Tanker,27 829,12.09.14,c. Zhelania,c. Dezhnev,20.09.14,8
18,17,SCF Amur,Russia,Oil Products Tanker,29 844,14.09.14,c. Zhelania,c. Dezhnev,21.09.14,7
19,18,Paramushir,Russia,General Cargo,6 540,16.09.14,c. Dezhnev,Karskiye Vorota,28.09.14,12
20,19,Igor Ilinskiy,Russia,General Cargo,7 095,18.09.14,c. Dezhnev,Karskiye Vorota,29.09.14,11
21,20,Polar King,Russia,General Cargo,7 085,28.09.14,c. Dezhnev,North of c. Zhelania,07.10.14,9
