Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date
Tian En,9774587,Arc 4,China,COSCO,General cargo,37125,26787,190,Finland,Helsinki,2021-06-23,China,Qingdao,2021-08-17
Admiral Shmidt,9838838,Arc 5,Bahamas,GTLK Asia M3,Bulk,104553,66291,250,Russia,Nakhodka,2021-07-07,Canada,Nunavut,2021-08-11
Pugnax,9763849,Arc 7,Liberia,Fortune MC Titan Shipping,Heavy Load,28816,34146,206.3,Netherlands,Rotterdam,2021-07-09,China,Yantai,2021-08-14
Golden Furious,9860128,Ice 2,Marshall Islands,Furious Shipowning,Bulk,81600,44094,229,Russia,Vanino,2021-07-10,Russia,Murmansk,2021-08-06
Svyatoy Pavel,9035826,Arc 4,Russia,Valkur,Tanker,10926,6441,127.2,Russia,Beringovskiy,2021-07-15,Russia,Arkhangelsk,2021-08-03
UHL Frontier,9789685,Arc 4,Portugal,HAMMONIA Reederei,General cargo,14013,16729,150,Denmark,Aalborg,2021-07-16,Taiwan,Taichung,2021-08-15
Tian Hui,9774599,Arc 4,China,COSCO,General cargo,37130,26787,200,China,Shanghai,2021-07-17,Norway,Gismarvik,2021-08-18
Tian Zhen,9722728,Ice 1,China,COSCO,General cargo,38007,26770,190,Finland,Helsinki,2021-07-17,China,Qingdao,2021-09-08
Chukotka+,7927960,Arc 4,Russia,Chukotka Trading Company,Tanker,11548,8806,140.8,Russia,Arkhangelsk,2021-07-21,Russia,Lavrentiya,2021-08-15
Boris Davydov,9768394,Arc 7,Cyprus,Dynagas,LNG Tanker,97000,128806,299,China,Yangkou,2021-07-21,Denmark,Munkebo,2021-08-12
Kumpula,9590802,Arc 4,Finland,Suek AG,Bulk,56348,33958,197,Russia,Murmansk,2021-07-21,China,Ningbo,2021-08-25
Golden Pearl,9470375,Ice 2,Marshall Islands,Suek AG,Bulk,74300,41718,225,Hong Kong,Hong Kong,2021-07-23,Russia,Murmansk,2021-08-19
Tian Qi,9722742,Ice 1,China,COSCO,General cargo,37940,26770,190,Russia,"St, Petersburg",2021-07-25,China,Qingdao,2021-08-30
Azoresborg,9466051,Arc 4,Netherlands,Wagenborg Shipping,General cargo,17407,11864,143,Russia,Murmansk,2021-07-28,South Korea,Ulsan,2021-08-19
Golden Suek,9438614,Ice 2,Hong Kong,Suek AG,Bulk,74849,41586,225,Russia,Murmansk,2021-07-30,China,Dalian,2021-08-27
Pilad,8411255,Arc 4,Russia,Morskoy Standard-Bunker,Tanker,11050,7093,135,Russia,Petropavlovsk-Kamchatskiy,2021-08-01,Russia,Arkhangelsk,2021-08-24
Thamesborg,9546459,Arc 4,Netherlands,Wagenborg Shipping,General cargo,21359,14695,172.28,Russia,Murmansk,2021-08-02,Japan,Kawasaki,2021-08-25
Da Yu Xia,9451317,Ice 2,Hong Kong,COSCO,General cargo,28341,20949,166.5,China,Shanghai,2021-08-05,Poland,Swinoujscie,2021-09-11
Audax,9763837,Arc 7,Liberia,Red Box Energy Services,General cargo,28899,34387,206.3,Denmark,Grenaa,2021-08-06,China,Qingdao,2021-09-22
Simfoniya,8516627,Arc 4,Russia,Transrefflot,Reefer,3750,4298,103,Russia,Petropavlovsk-Kamchatskiy,2021-08-06,Russia,Arkhangelsk,2021-08-26
Tian Jian,9722754,Ice 1,China,COSCO,Heavy Load,38146,26770,190,China,Qinhuangdao,2021-08-06,Sweden,Gavle,2021-09-05
Golden Enterprise,9481477,No Ice Class,Hong Kong,Suek AG,Bulk,79452,43498,229,Russia,Murmansk,2021-08-08,China,Dalian,2021-09-05
Svyatoy Pavel,9035826,Arc 4,Russia,Valkur,Tanker,10926,6441,127.2,Russia,Arkhangelsk,2021-08-12,Russia,Petropavlovsk-Kamchatskiy,2021-09-06
Golden Furious,9860128,Ice 2,Marshall Islands,Furious Shipowning,Bulk,81600,44094,229,Russia,Murmansk,2021-08-12,China,Tianjin,2021-09-06
UHL Fame,9785378,Arc 4,Portugal,Earl Shipping,General cargo,17190,16729,150,Denmark,Aalborg,2021-08-13,Taiwan,Taichung,2021-09-06
Chukotka+,7927960,Arc 4,Russia,Chukotka Trading Company,Tanker,11548,8806,140.8,Russia,Lavrentiya,2021-08-20,Russia,Arkhangelsk,2021-09-03
Regina Oldendorff,9535242,No Ice Class,Liberia,Oldendorff Carriers,Bulk,118863,66019,260,Russia,Nakhodka,2021-08-21,Russia,Murmansk,2021-09-14
Pavel Leonov,9872432,Arc 4,Russia,SASCO,Passenger,1829,3061,75,Russia,Murmansk,2021-08-25,Russia,Korsakov,2021-09-15
Tian You,9823625,Arc 4,China,COSCO,General cargo,37559,26787,200,Finland,Kotka,2021-08-25,China,Qingdao,2021-10-01
Rik Oldendorff,9463657,No Ice Class,Liberia,Oldendorff Carriers,Bulk,118467,65976,260.37,South Korea,Yosu,2021-08-26,Russia,Murmansk,2021-09-19
