Vessel name,IMO,Ice class,Flag,Owner / Operator,Vessel type,DWT,GRT,LOA,Dep Country,Dep Port,Dep Date,Arr Country,Arr Port,Arr Date,Cargo Approx tn,Cargo type
Pugnax,9763849,Arc 7,Liberia,Fortune MC Titan Shipping,Heavy Load,28816,34146,206,South Korea,Busan,2023-06-03,Russia,Murmansk,2023-07-03,11748.8,general cargo
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,"St, Petersburg",2023-06-24,Russia,Vostochnyy,2023-07-21,4764.74,containers
Chukotka+,7927960,Arc 4,Russia,Chukotka Trading Company,Tanker,11548,8806,141,Russia,Egvekinot,2023-07-04,Russia,Arkhangelsk,2023-07-26,0,ballast
SCF Baltica,9305568,Arc 5,Liberia,Ashbourne Navigation,Tanker,117153,65293,250,Russia,Vostochnyy,2023-07-07,Russia,Murmansk,2023-07-29,0,ballast
Pugnax,9763849,Arc 7,Liberia,Fortune MC Titan Shipping,Heavy Load,28816,34146,206,Russia,Murmansk,2023-07-07,China,Qidong,2023-08-07,0,ballast
Olafsson,7704708,Ice 1,Russia,OOO Antey,Fishing,1552,1592,71,Russia,Zarubino,2023-07-19,Russia,Barents Sea,2023-08-12,0,ballast
Bering (2),9104029,Ice 1,Russia,Antey,Fishing,3912,3440,82,Russia,Nakhodka,2023-07-19,Russia,Barents Sea,2023-08-12,0,ballast
Sevmorput,8729810,Arc 5,Russia,Atomflot,Container,33240,38226,260,Russia,Petropavlovsk-Kamchatskiy,2023-07-30,Russia,Murmansk,2023-08-13,6288.6,containers
Atlantic,9104017,Ice 1,Russia,OOO Antey,Fishing,3750,3431,82,Russia,Vladivostok,2023-07-13,Russia,Barents Sea,2023-08-13,0,ballast
Jupiter,7712937,Ice 1,Russia,Antey,Fishing,1251,1201,68,Russia,Zarubino,2023-07-20,Russia,Barents Sea,2023-08-13,0,ballast
Arktika-2,9243801,Arc 5,Russia,Reskom Tyumen,General cargo,9150,6585,134,Russia,Arkhangelsk,2023-07-17,Russia,Elga,2023-08-13,2000,general cargo
Newnew Polar Bear,9313204,Arc 5,Hong Kong,HAINANXIN XIN YANG,Container,15952,16324,169,Russia,"St, Petersburg",2023-07-07,China,Shanghai,2023-08-14,0,ballast
Audax,9763837,Arc 7,Curacao,"Fortune MC Hercules Shipping Ltd,",General cargo,28899,34387,206,South Korea,Busan,2023-07-24,Russia,Murmansk,2023-08-17,17285,general cargo
