N,Ship_name,IMO,LOA,DWT,Ice Class,Departure Date,Departure Port,Arrival Date,Arrival     port,Arrival Country,Cargo type,Cargo Approx,NSR Entered,NSR   Left       ,Days at NSR
1,Audax,9763837,206,28899,Arc 7,2024-01-06 00:00:00,Penglai,2024-02-27 00:00:00,Murmansk,Russia,General cargo,11800,21.01.2024,24.02.2024,34
1,Pugnax,9763849,206,28816,Arc 7,2024-01-06 00:00:00,Penglai,2024-02-27 00:00:00,Murmansk,Russia,General cargo,11100,21.01.2024,24.02.2024,34
1,Shturman_Skuratov,9759915,249,41041,Arc 7,2024-06-16 00:00:00,Murmansk,2024-07-10 00:00:00,Vostochnyy,Russia,Ballast,0,18.06.2024,29.06.2024,11
1,Korolev_Prospect,9826902,250,113232,Ice 3,2024-07-04 00:00:00,Hainan,2024-08-12 00:00:00,Murmansk,Russia,Ballast,0,25.07.2024,09.08.2024,15
1,Xue_Long_2,9829241,122,4530,Arc 7,2024-07-05 00:00:00,Qingdao,2024-08-28 00:00:00,Murmansk,Russia,Ballast,0,17.07.2024,23.08.2024,37
1,Xin_Xin_Hai_1,9623609,166,29011,Ice 2,2024-07-05 00:00:00,Shanghai,2024-08-10 00:00:00,Arkhangelsk,Russia,Containers,5100,17.07.2024,06.08.2024,20
1,Admiral_Shmidt,9838838,250,104553,Arc 5,2024-07-15 00:00:00,Ust-Luga,2024-08-19 00:00:00,Tangshan,China,Coal,100000,26.07.2024,05.08.2024,10
1,Vernadsky_Prospect,9843560,250,113310,Ice 3,2024-07-17 00:00:00,Rizhao,2024-08-16 00:00:00,Murmansk,Russia,Ballast,0,30.07.2024,13.08.2024,14
1,Nsm_Kumpula,9590802,197,56348,Arc 4,2024-07-17 00:00:00,St. Petersburg,2024-08-31 00:00:00,Bayuquan,China,Fertilizers,43000,05.08.2024,15.08.2024,10
1,Xin_Xin_Hai_2,9623594,166,29011,Ice 2,2024-07-17 00:00:00,Tianjin,2024-08-17 00:00:00,Arkhangelsk,Russia,Containers,5600,02.08.2024,13.08.2024,11
1,Viktor_Bakaev,9610810,250,118175,Ice 2,2024-07-21 00:00:00,Primorsk,2024-08-23 00:00:00,Hekou,China,Crude Oil,100000,31.07.2024,09.08.2024,9
1,Arktika-2,9243801,134,9150,Arc 5,2024-07-22 00:00:00,Arkhangelsk,2024-08-14 00:00:00,Mys Manorskiy,Russia,General cargo,2000,25.07.2024,06.08.2024,12
1,Mikhail_Ulyanov,9333670,236,70000,Arc 6,2024-07-25 00:00:00,Prirazlomnaya,2024-08-20 00:00:00,Tianjin,China,Crude Oil,66000,26.07.2024,05.08.2024,10
1,Akademik_Kovalev,1234567,108,2000,Arc 5,2024-07-28 00:00:00,P.Kamchatskiy,2024-08-17 00:00:00,Murmansk,Russia,Ballast,0,03.08.2024,14.08.2024,11
1,Shen_Yu_79,9228069,225,74204,No,2024-07-30 00:00:00,Huangpu,2024-09-06 00:00:00,Murmansk,Russia,Ballast,0,13.08.2024,27.08.2024,14
1,Sankt-Peterburg,9326586,114,6430,Icebreaker 6,2024-07-30 00:00:00,Murmansk,2024-08-22 00:00:00,Vladivostok,Russia,Ballast,0,02.08.2024,12.08.2024,10
1,Olimpiyskiy_Prospect,9511387,250,113905,Ice 3,2024-07-31 00:00:00,Murmansk,2024-08-28 00:00:00,Tianjin,China,Crude Oil,100000,03.08.2024,13.08.2024,10
1,Xin_Xin_Shan,9348986,182,23730,Ice 1,2024-08-03 00:00:00,Shanghai,2024-08-30 00:00:00,Arkhangelsk,Russia,Containers,6700,17.08.2024,27.08.2024,10
1,Ns_Arctic,9413547,250,111107,Ice 3,2024-08-04 00:00:00,Murmansk,2024-08-30 00:00:00,Huizhou,China,Crude Oil,100000,06.08.2024,15.08.2024,9
1,Scf_Baltica,9305568,250,117153,Arc 5,2024-08-07 00:00:00,Murmansk,2024-08-31 00:00:00,Lanqiao,China,Crude Oil,110000,09.08.2024,18.08.2024,9
1,Prisma,9299678,274,164565,Ice 2,2024-08-12 00:00:00,Primorsk,2024-09-12 00:00:00,Tianjin,China,Crude Oil,120000,23.08.2024,30.08.2024,7
1,Libra-Xs,9282742,190,52441,No,2024-08-13 00:00:00,St. Petersburg,2024-09-18 00:00:00,Yantai,China,Fertilizers,43000,23.08.2024,03.09.2024,11
1,Moskovsky_Prospect,9511521,250,113867,Ice 3,2024-08-14 00:00:00,Murmansk,2024-09-12 00:00:00,Qinzhou,China,Crude Oil,100000,17.08.2024,25.08.2024,8
1,Hui_Da_9,9714941,180,40300,Ice 1,2024-08-14 00:00:00,Shanghai,2024-09-18 00:00:00,St. Petersburg,Russia,Containers,9400,28.08.2024,05.09.2024,8
1,Xin_Xin_Hai_1,9623609,166,29011,Ice 2,2024-08-15 00:00:00,Arkhangelsk,2024-09-10 00:00:00,Rizhao,China,Containers,7900,19.08.2024,28.08.2024,9
1,Callisto,9040077,124,10511,Arc 4,2024-08-16 00:00:00,Egvekinot,2024-08-31 00:00:00,Murmansk,Russia,Ballast,0,17.08.2024,27.08.2024,10
1,Eldora,9584619,229,79341,Ice 1,2024-08-16 00:00:00,Hong Kong,2024-09-22 00:00:00,Ust-Luga,Russia,Ballast,0,01.09.2024,10.09.2024,9
1,Newnew_Moon,9178276,195,30703,No,2024-08-17 00:00:00,Dalian,2024-09-16 00:00:00,Arkhangelsk,Russia,Containers,6500,01.09.2024,10.09.2024,9
1,Polar_Lady,9438614,225,74815,Ice 2,2024-08-19 00:00:00,Ust-Luga,2024-09-21 00:00:00,Tangshan,China,Coal,70000,30.08.2024,07.09.2024,8
1,Fesco_Uliss,9312157,138,12711,Arc 4,2024-08-21 00:00:00,Nantong,2024-09-23 00:00:00,Ust-Luga,Russia,General cargo,3100,02.09.2024,12.09.2024,10
